variable,order_tested,test,specification,selected_lag,n_obs,stat,p_value,crit_1pct,crit_5pct,crit_10pct,conclusion,order_of_integration
DIVM,level,"ADF (autolag=AIC, uncapped)",constant only,0,34,-2.5890690862118784,0.09527757615568755,-3.639224104416853,-2.9512301791166293,-2.614446989619377,non-stationary,I(1)
DIVM,1st difference,"ADF (autolag=AIC, uncapped)",constant only,0,33,-6.5524038116542975,8.78429445066336e-09,-3.6461350877925254,-2.954126991123355,-2.6159676124885216,stationary,I(1)
DIVP,level,"ADF (autolag=AIC, uncapped)",constant only,0,34,-1.3380771463015546,0.6115770254569609,-3.639224104416853,-2.9512301791166293,-2.614446989619377,non-stationary,I(1)
DIVP,1st difference,"ADF (autolag=AIC, uncapped)",constant only,0,33,-4.626113092284586,0.00011558669291970671,-3.6461350877925254,-2.954126991123355,-2.6159676124885216,stationary,I(1)
ERI,level,"ADF (autolag=AIC, uncapped)",constant only,0,34,-3.234477159516144,0.018073755098293173,-3.639224104416853,-2.9512301791166293,-2.614446989619377,stationary,I(0)
EXR,level,"ADF (autolag=AIC, uncapped)",constant + trend,10,24,-1.1114882594915363,0.9271227231396154,-4.395041166087963,-3.6123930960648147,-3.243216493055556,non-stationary,I(1)
EXR,level,"ADF (autolag=AIC, maxlag=4)",constant + trend,2,32,2.865994164177297,1.0,-4.27353517944336,-3.5578989233398435,-3.2123659912109375,non-stationary,I(1)
EXR,level,"ADF (autolag=BIC, maxlag=4)",constant + trend,2,32,2.865994164177297,1.0,-4.27353517944336,-3.5578989233398435,-3.2123659912109375,non-stationary,I(1)
EXR,level,Phillips-Perron,constant + trend,10,34,-1.0644882996095681,0.9347869658999534,-4.253042608385915,-3.5485904579686545,-3.2070617952371263,non-stationary,I(1)
EXR,1st difference,"ADF (autolag=AIC, uncapped)",constant only,10,23,0.21803094754922261,0.973254954653131,-3.7529275211638033,-2.998499866852963,-2.6389669754253307,non-stationary,I(1)
EXR,1st difference,"ADF (autolag=AIC, maxlag=4)",constant only,2,31,1.29435839530835,0.9965771606710692,-3.661428725118324,-2.960525341210433,-2.6193188033298647,non-stationary,I(1)
EXR,1st difference,"ADF (autolag=BIC, maxlag=4)",constant only,2,31,1.29435839530835,0.9965771606710692,-3.661428725118324,-2.960525341210433,-2.6193188033298647,non-stationary,I(1)
EXR,1st difference,Phillips-Perron,constant only,10,33,-5.053762463536126,1.73522381354218e-05,-3.6461350877925254,-2.954126991123355,-2.6159676124885216,stationary,I(1)
EXR,2nd difference,"ADF (autolag=AIC, uncapped)",constant only,9,23,0.6859896262869472,0.9895540810727408,-3.7529275211638033,-2.998499866852963,-2.6389669754253307,non-stationary,I(1)
INF,level,"ADF (autolag=AIC, uncapped)",constant only,0,34,-4.881064487722789,3.795811673280672e-05,-3.639224104416853,-2.9512301791166293,-2.614446989619377,stationary,I(0)
log(FDI),level,"ADF (autolag=AIC, uncapped)",constant + trend,2,32,-1.9676890032726329,0.618918564325101,-4.27353517944336,-3.5578989233398435,-3.2123659912109375,non-stationary,I(1)
log(FDI),1st difference,"ADF (autolag=AIC, uncapped)",constant only,1,32,-7.649656239349106,1.8034414246806526e-11,-3.653519805908203,-2.9572185644531253,-2.6175881640625,stationary,I(1)
