year,eri,divp,divm,divp_source,divm_source,inflation_rate_pct,exchange_rate,fdi_net_inflows_usd,log_fdi,shock
1990,0.3837,0.79443212312444,0.8300694301528553,0.7944,0.8506,21.49525,40.06292,43355119.72,17.58493535617812,0
1991,0.3678,0.7667757454828432,0.8116530970150291,0.7668,0.812,12.18563,41.3715,48349173.73,17.693959690369052,0
1992,0.3391,0.7238111383093884,0.7372457077424747,0.7238,0.7372,11.38344,43.82963,122625843.1,18.624648351259395,0
1993,0.5452,0.7195211382310429,0.7370526570059164,0.7195,0.7371,11.74674,48.32217,194479070.2,19.085835107006375,0
1994,0.6214,0.7317813280918688,0.7292371213689177,0.7318,0.7385,8.448712,49.41514,166412940.1,18.929982848351877,0
1995,0.5759,0.7326277067542161,0.6945383083329753,0.7326,0.7433,7.674849,51.25159,55995587.57,17.840783452202203,0
1996,0.4984,0.7202941959858654,0.7890586805916425,0.7203,0.7891,15.93583,55.27144,119874349.7,18.601954666335644,0
1997,0.513,0.6946121913064753,0.7772669130979479,0.6946,0.7773,9.573696,58.99461,430056151.8,19.879426343707724,0
1998,0.472,0.6745249856900605,0.7617378808297691,0.6745,0.7617,9.364243,64.45012,193424023.1,19.080395347850654,0
1999,0.5398,0.6648583479794548,0.7789139451938232,0.6649,0.8154,4.691706,70.63545,176410171.3,18.988322360305506,0
2000,0.6906,0.6453462563169314,0.7732593397228019,0.6453,0.8089,6.176276,77.00512,172941409.8,18.96846342342355,0
2001,0.3984,0.655765198948473,0.7704365999682896,0.6558,0.8047,14.15846,89.38301,171790000.0,18.961783358602627,0
2002,0.5286,0.6794008591986433,0.7778360648725493,0.6794,0.8335,9.551032,95.66207,196500000.0,19.09617298927359,0
2003,0.567,0.6903988426624805,0.7857094293631837,0.6904,0.8463,6.314638,96.52095,228720000.0,19.24800910597833,0
2004,0.6597,0.7079266395819299,0.7938451896778621,0.7079,0.8615,7.575926,101.1945,232800000.0,19.26569027382156,0
2005,0.6681,0.7300109146449565,0.7882240305329032,0.73,0.8729,11.63969,100.4981,272400000.0,19.422782132239632,0
2006,0.7972,0.7567368535562106,0.7928473727461847,0.7567,0.8928,10.02018,103.9144,479700000.0,19.988671466472294,0
2007,0.7694,0.7641910278775252,0.8135259972532572,0.7642,0.903,15.84211,110.6232,603000000.0,20.21742775469146,0
2008,0.8978,0.7634075329996641,0.8181062830822647,0.7634,0.9159,22.5645,108.3338,752200000.0,20.43851280400051,1
2009,0.5616,0.7432244218626303,0.8262533899114867,0.7432,0.9159,3.464963,114.9448,404000000.0,19.816925435925423,1
2010,0.7087,0.791705604006221,0.8139784927897005,0.7917,0.9327,6.217649,113.0645,477559000.0,19.984198270461548,0
2011,0.9667,0.7949962418308729,0.8151676259492686,0.795,0.9345,6.716768,110.5652,955920000.0,20.678184785505774,0
2012,0.9501,0.7872867630047421,0.7994120038396793,0.7873,0.9306,7.542914,127.6034,941116591.2,20.66257759125602,0
2013,0.6917,0.7684592244135978,0.8023379186067163,0.7685,0.9216,6.90845,129.069,932551317.6,20.653434740246844,0
2014,0.7309,0.7623933396420156,0.8203036714585143,0.7624,0.9196,3.179002,130.5647,893628980.3,20.61080123614684,0
2015,0.7107,0.7569440779063368,0.8067960559045163,0.7569,0.9113,3.768368,135.8569,679655644.2,20.337096822279577,0
2016,0.7308,0.7404714621194946,0.8070921238515562,0.7405,0.9064,3.958888,145.5817,897049375.9,20.614621464104548,0
2017,0.713,0.7638629208854579,0.8215760227704902,0.7639,0.9149,8.0,152.0,1372723043.0,21.040062226705896,0
2018,0.7299,0.7588108531499496,0.7967619846532661,0.7588,0.9169,2.135038,162.4649,1614044009.0,21.202008673460842,0
2019,0.6242,0.7440136612711801,0.8097708363026253,0.744,0.9135,3.528394,178.7449,743466231.5,20.42683390454118,0
2020,0.4145,0.763878708637137,0.8291506827959552,0.7639,0.9092,6.153945,185.5926,434075668.5,19.888729428249732,1
2021,0.6622,0.7694160753950003,0.8274653777084392,0.7694,0.911,7.014781,198.7643,592289969.9,20.19950688694882,1
2022,0.3567,0.7552528089309185,0.8210468061512082,0.7552,0.912,49.7211,322.6327,884150491.4,20.60013784525315,1
2023,0.4154,0.7928178768355438,0.8169967285713725,0.7928,0.9284,16.54117,327.5065,713015364.6,20.385013527375,0
2024,0.895,0.799922916604955,0.7920594102676705,0.7999,0.7921,-0.42936,301.8,761144545.7,20.450333839576423,0
