year,eri_recomputed,eri_precomputed_main,diff_recomputed_vs_main,divp_recomputed,product_diversification_index,diff_divp,divm_recomputed,market_diversification_index,diff_divm
1990,0.38376666666666664,0.3837,6.666666666665932e-05,0.79443212312444,0.7944,3.2123124440008866e-05,0.8300694301528553,0.8506,-0.020530569847144742
1991,0.36776666666666663,0.3678,-3.333333333338517e-05,0.7667757454828432,0.7668,-2.42545171568187e-05,0.8116530970150291,0.812,-0.00034690298497097594
1992,0.3390666666666666,0.3391,-3.333333333338517e-05,0.7238111383093884,0.7238,1.1138309388369905e-05,0.7372457077424747,0.7372,4.5707742474698776e-05
1993,0.5451666666666667,0.5452,-3.333333333332966e-05,0.7195211382310429,0.7195,2.113823104288315e-05,0.7370526570059164,0.7371,-4.734299408359899e-05
1994,0.6214000000000001,0.6214,1.1102230246251565e-16,0.7317813280918688,0.7318,-1.8671908131207005e-05,0.7292371213689177,0.7385,-0.009262878631082327
1995,0.5759333333333333,0.5759,3.333333333332966e-05,0.7326277067542161,0.7326,2.7706754216039187e-05,0.6945383083329753,0.7433,-0.04876169166702471
1996,0.4984333333333333,0.4984,3.333333333327415e-05,0.7202941959858654,0.7203,-5.8040141346360485e-06,0.7890586805916425,0.7891,-4.131940835749859e-05
1997,0.5130333333333333,0.513,3.333333333332966e-05,0.6946121913064753,0.6946,1.2191306475339836e-05,0.7772669130979479,0.7773,-3.3086902052059664e-05
1998,0.4719333333333333,0.472,-6.666666666665932e-05,0.6745249856900605,0.6745,2.498569006048612e-05,0.7617378808297691,0.7617,3.788082976907692e-05
1999,0.5397666666666666,0.5398,-3.333333333332966e-05,0.6648583479794548,0.6649,-4.1652020545290824e-05,0.7789139451938232,0.8154,-0.03648605480617684
2000,0.6906,0.6906,0.0,0.6453462563169314,0.6453,4.625631693144783e-05,0.7732593397228019,0.8089,-0.03564066027719803
2001,0.39843333333333336,0.3984,3.333333333338517e-05,0.655765198948473,0.6558,-3.480105152708912e-05,0.7704365999682896,0.8047,-0.034263400031710356
2002,0.5286000000000001,0.5286,1.1102230246251565e-16,0.6794008591986433,0.6794,8.591986433437171e-07,0.7778360648725493,0.8335,-0.055663935127450714
2003,0.5670666666666667,0.567,6.666666666677035e-05,0.6903988426624805,0.6904,-1.1573375194862123e-06,0.7857094293631837,0.8463,-0.06059057063681639
2004,0.6597333333333334,0.6597,3.3333333333440684e-05,0.7079266395819299,0.7079,2.6639581929943645e-05,0.7938451896778621,0.8615,-0.06765481032213794
2005,0.6681333333333335,0.6681,3.3333333333440684e-05,0.7300109146449565,0.73,1.0914644956505626e-05,0.7882240305329032,0.8729,-0.08467596946709677
2006,0.7971333333333334,0.7972,-6.666666666665932e-05,0.7567368535562106,0.7567,3.685355621052544e-05,0.7928473727461847,0.8928,-0.09995262725381537
2007,0.7694333333333333,0.7694,3.333333333332966e-05,0.7641910278775252,0.7642,-8.972122474748545e-06,0.8135259972532572,0.903,-0.08947400274674278
2008,0.8978,0.8978,0.0,0.7634075329996641,0.7634,7.532999664161544e-06,0.8181062830822647,0.9159,-0.09779371691773531
2009,0.5615666666666667,0.5616,-3.333333333332966e-05,0.7432244218626303,0.7432,2.442186263029722e-05,0.8262533899114867,0.9159,-0.08964661008851338
2010,0.7087333333333333,0.7087,3.333333333332966e-05,0.791705604006221,0.7917,5.6040062210716e-06,0.8139784927897005,0.9327,-0.1187215072102995
2011,0.9666666666666668,0.9667,-3.333333333321864e-05,0.7949962418308729,0.795,-3.758169127121569e-06,0.8151676259492686,0.9345,-0.11933237405073138
2012,0.9501333333333334,0.9501,3.3333333333440684e-05,0.7872867630047421,0.7873,-1.3236995257903672e-05,0.7994120038396793,0.9306,-0.13118799616032073
2013,0.6916666666666668,0.6917,-3.333333333321864e-05,0.7684592244135978,0.7685,-4.077558640214196e-05,0.8023379186067163,0.9216,-0.11926208139328365
2014,0.7308666666666667,0.7309,-3.333333333332966e-05,0.7623933396420156,0.7624,-6.660357984356047e-06,0.8203036714585143,0.9196,-0.09929632854148562
2015,0.7107333333333333,0.7107,3.333333333332966e-05,0.7569440779063368,0.7569,4.407790633675912e-05,0.8067960559045163,0.9113,-0.10450394409548369
2016,0.7308333333333334,0.7308,3.3333333333440684e-05,0.7404714621194946,0.7405,-2.8537880505496993e-05,0.8070921238515562,0.9064,-0.09930787614844383
2017,0.713,0.713,0.0,0.7638629208854579,0.7639,-3.707911454209345e-05,0.8215760227704902,0.9149,-0.0933239772295098
2018,0.7298666666666667,0.7299,-3.333333333332966e-05,0.7588108531499496,0.7588,1.0853149949530128e-05,0.7967619846532661,0.9169,-0.12013801534673396
2019,0.6242333333333333,0.6242,3.333333333332966e-05,0.7440136612711801,0.744,1.366127118007654e-05,0.8097708363026253,0.9135,-0.10372916369737473
2020,0.41443333333333326,0.4145,-6.666666666671484e-05,0.763878708637137,0.7639,-2.1291362862996266e-05,0.8291506827959552,0.9092,-0.08004931720404485
2021,0.6621666666666667,0.6622,-3.333333333332966e-05,0.7694160753950003,0.7694,1.607539500037003e-05,0.8274653777084392,0.911,-0.08353462229156083
2022,0.35673333333333335,0.3567,3.333333333332966e-05,0.7552528089309185,0.7552,5.280893091852423e-05,0.8210468061512082,0.912,-0.09095319384879186
2023,0.41536666666666666,0.4154,-3.333333333332966e-05,0.7928178768355438,0.7928,1.7876835543884084e-05,0.8169967285713725,0.9284,-0.11140327142862749
2024,0.8946666666666667,0.895,-0.0003333333333332966,0.799922916604955,0.7999,2.291660495490344e-05,0.7920594102676705,0.7921,-4.058973232956564e-05
